id	name	comment
232	Северо-восточный район	Школа
233	Сельмаш	NULL
234	Семилукские выселки	NULL
235	Серафимовича	NULL
236	Сквер	Менделеева
237	Солнечная	NULL
238	Сомово	NULL
239	Станкостроительный завод	NULL
240	Станция Отрожка	NULL
241	СТО ВАЗ	Димитрова
242	Столовая СХИ	NULL
243	Строительный институт	NULL
244	Студгородок ВГТУ	NULL
245	Суворова	NULL
246	Таврово	NULL
247	Танеева	NULL
248	Театр кукол ШУТ	NULL
249	Театральная	NULL
250	Текстильщиков	NULL
251	Тенистый	NULL
252	Тепличный комбинат	NULL
253	Теплоэнергетиков	NULL
254	Торговое училище	NULL
255	Торпедо	9 Января
256	Троллейбусный парк	NULL
257	ТТУ	NULL
258	ТУ 14	NULL
259	Туполева	NULL
260	Турбаза Дон	NULL
261	ТЦ METRO	NULL
262	ТЮЗ	NULL
263	Заправка	около Авторынка
264	Танк	Проспект Патриотов
265	У-м Молодежный	NULL
266	Универсам Северный	NULL
267	Усманский	NULL
268	Училище	около завода Дзержинского
269	Ф.Энгельса	NULL
270	Химзавод	NULL
271	ХимОптТорг	NULL
272	Хладокомбинат	Иркутская
273	Хользунова	NULL
274	Хоперский	NULL
275	Храм	NULL
276	Циолковского	NULL
277	Цирк	NULL
278	Чернавский мост	NULL
279	Чижовский плацдарм	NULL
280	Шендрикова	NULL
281	Шинный завод	NULL
282	Шишкова	NULL
283	Школа	Менделеева
284	Школа РОСТО	NULL
285	Шубина	NULL
286	Экспоцентр	NULL
287	Юго-западное кладбище	NULL
288	Юго-западный район	NULL
289	Юго-западный рынок	NULL
290	Ярмарка стройматериалов	NULL
